Full_Text,Title,Artists
"Garmi (From ""Street Dancer 3D"") (feat. Varun Dhawan) Badshah, Neha Kakkar, Varun Dhawan","Garmi (From ""Street Dancer 3D"") (feat. Varun Dhawan)","Badshah, Neha Kakkar, Varun Dhawan"
"Tu Hi Yaar Mera (From ""Pati Patni Aur Woh"") Rochak, Arijit Singh, Neha Kakkar, Rochak Kohli","Tu Hi Yaar Mera (From ""Pati Patni Aur Woh"")","Rochak, Arijit Singh, Neha Kakkar, Rochak Kohli"
"Humraah (From ""Malang - Unleash The Madness"") Sachet Tandon, The Fusion Project","Humraah (From ""Malang - Unleash The Madness"")","Sachet Tandon, The Fusion Project"
"Kaise Hua (From ""Kabir Singh"") Vishal Mishra","Kaise Hua (From ""Kabir Singh"")",Vishal Mishra
"Mere Liye Tum Kaafi Ho (From ""Shubh Mangal Zyada Saavdhan"") Ayushmann Khurrana, Tanishk-Vayu","Mere Liye Tum Kaafi Ho (From ""Shubh Mangal Zyada Saavdhan"")","Ayushmann Khurrana, Tanishk-Vayu"
"Bekhayali (From ""Kabir Singh"") Sachet Tandon, Sachet-Parampara","Bekhayali (From ""Kabir Singh"")","Sachet Tandon, Sachet-Parampara"
"Tera Ban Jaunga (From ""Kabir Singh"") Akhil Sachdeva, Tulsi Kumar","Tera Ban Jaunga (From ""Kabir Singh"")","Akhil Sachdeva, Tulsi Kumar"
"Yaad Piya Ki Aane Lagi Neha Kakkar, Tanishk Bagchi, Lalit Sen","Yaad Piya Ki Aane Lagi Neha Kakkar, Tanishk Bagchi, Lalit",Sen
"Mere Sohneya (From ""Kabir Singh"") Sachet Tandon, Parampara Thakur, Sachet-Parampara","Mere Sohneya (From ""Kabir Singh"")","Sachet Tandon, Parampara Thakur, Sachet-Parampara"
"Agar Tum Saath Ho (From ""Tamasha"") Alka Yagnik, Arijit Singh","Agar Tum Saath Ho (From ""Tamasha"")","Alka Yagnik, Arijit Singh"
"Tum Hi Aana (From ""Marjaavaan"") Payal Dev, Jubin Nautiyal","Tum Hi Aana (From ""Marjaavaan"")","Payal Dev, Jubin Nautiyal"
"Muqabla (From ""Street Dancer 3D"") Yash Narvekar, Parampara Thakur, Tanishk Bagchi","Muqabla (From ""Street Dancer 3D"")","Yash Narvekar, Parampara Thakur, Tanishk Bagchi"
"Chal Ghar Chalen (From ""Malang - Unleash The Madness"") [Mithoon feat. Arijit Singh] Mithoon, Arijit Singh","Chal Ghar Chalen (From ""Malang - Unleash The Madness"")","[Mithoon feat. Arijit Singh] Mithoon, Arijit Singh"
"Takbiran - Version 1 Ustad Jefri Al Buchori, H. Aswan Faisal","Takbiran - Version 1 Ustad Jefri Al Buchori, H. Aswan",Faisal
